# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	5390
#@/user_id	arsiendle_ph
a;ka 	啊	c=9 d=1.45172 t=5390
wǒ;pd,pp zuó;ov tiān;ad 	我昨天	c=1 d=1.56911e-06 t=5390
wǒ;pd,pp zài;ta,ut 	我在	c=1 d=0.127454 t=5390
wǔ;aa bǐ;vm 	五笔	c=1 d=0.0223708 t=5390
wǔ;aa gè;ra,pa 	五个	c=1 d=0.733447 t=5390
wǔ;aa gè;ra,pa zì;bz mǔ;ad,vd 	五个字母	c=1 d=4.93252e-10 t=5390
wǔ;aa yuán;aw,ee 	五元	c=1 d=0.794534 t=5390
xià;ab,ad 	下	c=5 d=1.07488 t=5390
xià;ab,ad cì;dq 	下次	c=4 d=0.538929 t=5390
xià;ab,ad de;bu 	下的	c=1 d=4.66856e-10 t=5390
xià;ab,ad lái;am,wb 	下来	c=4 d=1.55026 t=5390
xià;ab,ad miàn;aa 	下面	c=3 d=0.0367502 t=5390
xià;ab,ad yì;aa jí;mv,vm 	下一集	c=1 d=0.697676 t=5390
xià;ab,ad yí;aa gè;ra,pa 	下一个	c=1 d=0.133989 t=5390
xià;ab,ad yǔ;ad 	下雨	c=1 d=0.0261214 t=5390
xià;ab,ad zài;gi,ig 	下载	c=13 d=4.03732 t=5390
xiàn;eg zhì;dg,dv 	限制	c=1 d=0.440432 t=5390
xiàn;wj zài;ta,ut 	现在	c=12 d=1.0248 t=5390
xiàn;yc mù;cx,xm le;aa,vu 	羡慕了	c=1 d=0.810584 t=5390
xiàng;gy,yg 	项	c=1 d=0.140858 t=5390
xiàng;gy,yg mù;aa,om,mu 	项目	c=1 d=0.0192547 t=5390
xiàng;rx 	像	c=5 d=0.782705 t=5390
xiào;mj yùn;zy huì;ry 	校运会	c=1 d=0.028297 t=5390
xiào;vy 	笑	c=1 d=0.00315111 t=5390
xiào;vy sǐ;db wǒ;pd,pp 	笑死我	c=1 d=0.535261 t=5390
xiào;vy sǐ;db wǒ;pd,pp le;aa,vu 	笑死我了	c=4 d=1.00001 t=5390
xiào;wj guǒ;ad,tm 	效果	c=3 d=0.574078 t=5390
xiào;wj lǜ;wu 	效率	c=2 d=0.500653 t=5390
xiáng;yy xì;st 	详细	c=1 d=0.341298 t=5390
xiè;ea,ev,ex zǎi;gi,ig 	卸载	c=2 d=1.61316 t=5390
xiè;yu xie;yu 	谢谢	c=1 d=0.00125578 t=5390
xiān;ne,en 	先	c=7 d=1.68239 t=5390
xiāng;mo guān;bt,qd 	相关	c=1 d=0.0197421 t=5390
xiāo;dx shī;pf 	消失	c=2 d=0.60405 t=5390
xiāo;dx shī;pf dé;xc 	消失得	c=1 d=0.310367 t=5390
xiē;ec 	些	c=2 d=0.660347 t=5390
xiě;by 	写	c=18 d=1.35147 t=5390
xiě;by bù;ad,ax lái;am,wb 	写不来	c=1 d=0.767206 t=5390
xiě;by cuò;jx 	写错	c=1 d=0.00631393 t=5390
xiě;by de;bu 	写的	c=4 d=1.18529 t=5390
xiě;by de;bu bǐ;vm jì;yj 	写的笔记	c=1 d=0.00245409 t=5390
xiě;by de;xc 	写得	c=2 d=0.00124104 t=5390
xiě;by fǎ;dq 	写法	c=4 d=0.0604744 t=5390
xiě;by guò;zc 	写过	c=1 d=0.554327 t=5390
xiě;by le;aa,vu 	写了	c=2 d=0.759572 t=5390
xiě;by le;aa,vu gè;ra,pa 	写了个	c=1 d=0.00740944 t=5390
xiě;by quán;rw 	写全	c=1 d=0.00431784 t=5390
xiě;by wán;by 	写完	c=1 d=0.0374406 t=5390
xiě;by xiě;by xiě;by 	写写写	c=1 d=0.603506 t=5390
xiū;rm xi;xz,zx 	休息	c=1 d=0.913931 t=5390
xiū;rp fù;pw,rw,wo 	修复	c=10 d=1.30086 t=5390
xiū;rp gǎi;wj,jw 	修改	c=7 d=0.252767 t=5390
xiǎn;oy de;xc 	显得	c=4 d=0.40657 t=5390
xiǎn;oy shì;ex,ad 	显示	c=10 d=1.61928 t=5390
xiǎng;xx 	想	c=2 d=0.325348 t=5390
xiǎng;xx bú;ad,ax dào;dv 	想不到	c=1 d=0.440432 t=5390
xiǎng;xx fǎ;dq 	想法	c=1 d=0.00831245 t=5390
xiǎng;xx fǎ;dq le;aa,vu 	想法了	c=1 d=0.362402 t=5390
xiǎng;xx qǐ;zj lái;am,wb 	想起来	c=1 d=0.379083 t=5390
xiǎng;xx yào;xn de;bu 	想要的	c=1 d=0.00184551 t=5390
xiǎng;xx zhe;yo 	想着	c=1 d=2.70611e-06 t=5390
xiǎo;ad 	小	c=1 d=0.00307331 t=5390
xiǎo;ad dīng;kd dāng;xx 	小叮当	c=1 d=0.0784731 t=5390
xiǎo;ad hè;nv 	小鹤	c=8 d=0.946289 t=5390
xiǎo;ad hè;nv shuāng;yy pīn;fb 	小鹤双拼	c=1 d=6.39714e-10 t=5390
xiǎo;ad lán;cj 	小蓝	c=0 d=0.000577048 t=5390
xiǎo;ad lán;cj tiān;ad 	小蓝天	c=1 d=0.0057994 t=5390
xiǎo;ad māo;qm 	小猫	c=2 d=0.212256 t=5390
xiǎo;ad qǐ;rv é;nw 	小企鹅	c=6 d=5.09403 t=5390
xiǎo;ad shí;oc 	小时	c=1 d=0.293758 t=5390
xiǎo;ad zì;bz 	小字	c=0 d=0.000296761 t=5390
xuàn;dx rǎn;mg,mj 	渲染	c=2 d=1.47686 t=5390
xué;dz,zb de;bu 	学的	c=1 d=0.00367942 t=5390
xué;dz,zb guò;zc 	学过	c=1 d=0.0141931 t=5390
xué;dz,zb xiào;mj de;bu 	学校的	c=1 d=0.771052 t=5390
xué;dz,zb xí;ga tōng;zy 	学习通	c=2 d=0.75862 t=5390
xuǎn;zx 	选	c=4 d=0.601975 t=5390
xuǎn;zx cí;ys 	选词	c=7 d=1.3492 t=5390
xuǎn;zx xiàng;gy,yg 	选项	c=3 d=1.46326 t=5390
xuǎn;zx zhòng;aa,ka 	选中	c=2 d=0.068239 t=5390
xuǎn;zx zé;ff 	选择	c=8 d=0.40599 t=5390
xuǎn;zx zé;ff wén;wi,dd jiàn;rn 	选择文件	c=1 d=0.0190631 t=5390
xì;ps tǒng;si 	系统	c=2 d=0.064591 t=5390
xìn;ry xī;xz,zx 	信息	c=1 d=0.188247 t=5390
xìng;ba,db qù;zq 	兴趣	c=1 d=6.52637e-10 t=5390
xí;ga guàn;xg 	习惯	c=3 d=0.0350434 t=5390
xí;ly,yl jī;aa,eu,fk le;aa,vu 	袭击了	c=0 d=3.47412e-05 t=5390
xí;ly,yl jī;aa,eu,fk le;aa,vu wǒ;pd,pp 	袭击了我	c=1 d=0.000349153 t=5390
xíng;xd,xi 	行	c=1 d=0.26982 t=5390
xíng;xd,xi wéi;dd 	行为	c=1 d=0.0177743 t=5390
xī;ju,ib,ij wàng;wo 	希望	c=5 d=0.883387 t=5390
xīn;jq 	新	c=4 d=0.944307 t=5390
xīn;jq bǎn;pf běn;aa,ma 	新版本	c=1 d=0.147342 t=5390
xīn;jq de;bu 	新的	c=1 d=0.148823 t=5390
xīn;jq gǎi;wj,jw dòng;ly,yl 	新改动	c=1 d=0.000420108 t=5390
xīn;jq rén;pd 	新人	c=1 d=0.0761538 t=5390
xīn;lu kǔ;cg 	辛苦	c=1 d=0.00117675 t=5390
xū;ye qiú;ad 	需求	c=3 d=0.402063 t=5390
xū;ye qiě;aa 	需且	c=1 d=0.0884781 t=5390
xū;ye yào;xn 	需要	c=7 d=0.829967 t=5390
xǐ;dx dí;dt jì;dq 	洗涤剂	c=1 d=0.0939495 t=5390
xǐ;uk huān;yq 	喜欢	c=3 d=0.81055 t=5390
yuàn;xy yì;xy,lx 	愿意	c=1 d=0.0753961 t=5390
yuán;ix 	原	c=1 d=0.0605068 t=5390
yuán;ix běn;aa,ma 	原本	c=3 d=0.980199 t=5390
yuán;ix běn;aa,ma shì;op,ov 	原本是	c=1 d=0.00136037 t=5390
yuán;ix lái;am,wb 	原来	c=7 d=1.3412 t=5390
yuán;ix lái;am,wb shì;op,ov 	原来是	c=3 d=0.902185 t=5390
yuán;ix yīn;kd 	原因	c=2 d=0.0247235 t=5390
yuán;ky jiǎo;dy 	圆角	c=2 d=1.88921e-06 t=5390
yuè;md dú;ym 	阅读	c=8 d=0.529251 t=5390
yuè;uq,qu fù;bi,pd 	岳父	c=1 d=0.0620385 t=5390
yuè;zy gǎi;wj,jw yuè;zy 	越改越	c=0 d=1.03615e-07 t=5390
yuè;zy gǎi;wj,jw yuè;zy huí;kk qù;ts 	越改越回去	c=1 d=1.04134e-06 t=5390
yuǎn;zy chéng;hi 	远程	c=1 d=0.565525 t=5390
yuǎn;zy duān;le 	远端	c=1 d=0.318224 t=5390
yàng;my 	样	c=1 d=0.00082099 t=5390
yào;xn 	要	c=19 d=2.16069 t=5390
yào;xn me;ps 	要么	c=4 d=1.57724 t=5390
yào;xn shá;ku 	要啥	c=1 d=0.170333 t=5390
yào;xn wǒ;pd,pp shuō;yd 	要我说	c=1 d=0.918512 t=5390
yào;xn zài;ta,ut 	要在	c=2 d=0.396531 t=5390
yán;da,dk,wk 	言	c=1 d=8.80968e-10 t=5390
yán;yy miàn;aa jìn;id shī;pf 	颜面尽失	c=1 d=0.0413782 t=5390
yán;yy zhí;rv dǎng;xx,dx,ek 	颜值党	c=1 d=0.718924 t=5390
yè;ab miàn;aa 	页面	c=3 d=0.0800213 t=5390
yè;wd,ww lù;yl 	夜露	c=1 d=0.865022 t=5390
yì;aa bān;vu 	一般	c=1 d=0.66365 t=5390
yì;aa bō;dp 	一波	c=2 d=0.431991 t=5390
yì;aa diǎn;hv 	一点	c=1 d=0.941765 t=5390
yì;aa diǎn;hv diǎn;hv 	一点点	c=1 d=0.213312 t=5390
yì;aa dī;rd tóu;dd 	一低头	c=1 d=0.0528657 t=5390
yì;aa kāi;ac shǐ;nt 	一开始	c=1 d=0.00535353 t=5390
yì;aa mú;mm yí;aa yàng;my 	一模一样	c=2 d=0.000619413 t=5390
yì;aa qǐ;zj 	一起	c=1 d=0.25284 t=5390
yì;aa tiáo;wm xìn;ry xī;xz,zx 	一条信息	c=1 d=0.053397 t=5390
yì;aa tuī;fv 	一推	c=1 d=0.0297478 t=5390
yì;aa xiē;ec 	一些	c=2 d=0.265824 t=5390
yì;aa zhí;aa,uq 	一直	c=14 d=0.925949 t=5390
yì;aa zhí;aa,uq zài;ta,ut 	一直在	c=1 d=0.995012 t=5390
yì;aa zhǒng;hv 	一种	c=1 d=0.184519 t=5390
yì;cs,sc tóng;kk 	异同	c=1 d=2.49805e-06 t=5390
yì;xy,lx si;tx,xt 	意思	c=4 d=0.810552 t=5390
yì;xy,lx yì;di,id 	意义	c=1 d=2.62613e-06 t=5390
yìng;oy shè;cu,uc 	映射	c=2 d=0.0578586 t=5390
yí;aa biàn;zb 	一遍	c=0 d=3.11223e-05 t=5390
yí;aa cì;dq 	一次	c=16 d=1.60477 t=5390
yí;aa dìng;bp 	一定	c=1 d=0.0193512 t=5390
yí;aa gè;ra,pa 	一个	c=23 d=1.72036 t=5390
yí;aa gè;ra,pa zì;bz 	一个字	c=1 d=0.00318278 t=5390
yí;aa jiàn;jj 	一键	c=1 d=0.245367 t=5390
yí;aa xià;ab,ad 	一下	c=9 d=0.523419 t=5390
yí;aa yàng;my 	一样	c=4 d=0.489192 t=5390
yí;aa yàng;my de;bu 	一样的	c=1 d=0.0151463 t=5390
yí;aa yàng;my de;bu ma;km 	一样的吗	c=1 d=2.10752e-06 t=5390
yí;aa zhì;wv xìng;xu 	一致性	c=1 d=0.571209 t=5390
yí;hd chū;ck,aa lái;am,wb 	移出来	c=1 d=0.0305009 t=5390
yí;hd dòng;ly,yl 	移动	c=3 d=0.195983 t=5390
yí;hd zhí;mv 	移植	c=2 d=0.000632779 t=5390
yí;hd zhí;mv dào;dv 	移植到	c=1 d=0.00267181 t=5390
yíng;my yíng;my 	盈盈	c=0 d=0.00569829 t=5390
yòng;kf 	用	c=23 d=3.08589 t=5390
yòng;kf bù;ad,ax liǎo;aa,vu 	用不了	c=3 d=1.24939 t=5390
yòng;kf bù;ad,ax míng;oo bái;pa,po 	用不明白	c=2 d=0.000578173 t=5390
yòng;kf bú;ad,ax shàng;aa,ba 	用不上	c=1 d=0.285076 t=5390
yòng;kf de;bu 	用的	c=1 d=0.946485 t=5390
yòng;kf fǎ;dq 	用法	c=2 d=0.00634174 t=5390
yòng;kf guò;zc 	用过	c=4 d=0.163687 t=5390
yòng;kf huí;kk 	用回	c=2 d=0.0130432 t=5390
yòng;kf hù;dp,du 	用户	c=2 d=1.4975 t=5390
yòng;kf le;aa,vu 	用了	c=1 d=5.34334e-10 t=5390
yòng;kf shàng;aa,ba 	用上	c=2 d=1.38371 t=5390
yòu;ku,uk biān;zl 	右边	c=1 d=0.020141 t=5390
yòu;ry 	佑	c=1 d=0.0513033 t=5390
yòu;vd,ad 	又	c=15 d=0.775438 t=5390
yòu;vd,ad bú;ad,ax huì;ry 	又不会	c=1 d=0.436049 t=5390
yòu;vd,ad bú;ad,ax shì;op,ov 	又不是	c=1 d=0.119433 t=5390
yòu;vd,ad bú;ad,ax yào;xn 	又不要	c=1 d=0.0277367 t=5390
yòu;vd,ad chǒu;aa,at,vt 	又丑	c=1 d=0.373439 t=5390
yòu;vd,ad děi;xc 	又得	c=1 d=0.00164503 t=5390
yòu;vd,ad méi;du 	又没	c=1 d=2.61303e-06 t=5390
yòu;vd,ad shì;op,ov 	又是	c=1 d=0.748264 t=5390
yòu;vd,ad shì;op,ov shén;ru me;ps 	又是什么	c=1 d=0.358796 t=5390
yòu;vd,ad yǒu;ou,uo 	又有	c=0 d=0.000162053 t=5390
yòu;vd,ad yǒu;ou,uo wèn;km,mk tí;uy,yu 	又有问题	c=1 d=0.00162865 t=5390
yóu;aa,ao 	由	c=2 d=0.0738485 t=5390
yóu;aa,ao yú;aa 	由于	c=2 d=0.65143 t=5390
yóu;dz xì;yg 	游戏	c=1 d=0.0963276 t=5390
yóu;dz xì;yg lǐ;aa,tt 	游戏里	c=1 d=0.190139 t=5390
yù;hy 	煜	c=1 d=0.0066709 t=5390
yù;zy bú;ad,ax dào;dv 	遇不到	c=1 d=0.810584 t=5390
yùn;zy xíng;xd,xi 	运行	c=3 d=0.657492 t=5390
yùn;zy yòng;kf 	运用	c=0 d=3.83949e-05 t=5390
yùn;zy yòng;kf zài;ta,ut 	运用在	c=1 d=0.000385874 t=5390
yún;es,se 	云	c=1 d=0.021068 t=5390
yún;es,se kòng;fk 	云控	c=1 d=0.160414 t=5390
yā;id,it suō;ss bāo;gs 	压缩包	c=1 d=0.67368 t=5390
yā;ky 	呀	c=10 d=1.02045 t=5390
yě;gg 	也	c=16 d=3.19704 t=5390
yě;gg bù;ad,ax kě;dk néng;sb 	也不可能	c=1 d=0.000238772 t=5390
yě;gg bù;ad,ax xū;ye yào;xn 	也不需要	c=1 d=0.0773047 t=5390
yě;gg bú;ad,ax huì;ry 	也不会	c=1 d=0.319819 t=5390
yě;gg huì;ry 	也会	c=1 d=0.00358858 t=5390
yě;gg jiù;yj shì;op,ov shuō;yd 	也就是说	c=1 d=0.302704 t=5390
yě;gg kě;dk yǐ;rd,ry 	也可以	c=1 d=0.0816756 t=5390
yě;gg méi;du 	也没	c=2 d=1.33222 t=5390
yě;gg méi;du shá;ku 	也没啥	c=0 d=6.46143e-11 t=5390
yě;gg méi;du yǒu;ou,uo 	也没有	c=1 d=0.000455097 t=5390
yě;gg néng;sb 	也能	c=0 d=0.000323088 t=5390
yě;gg shì;op,ov 	也是	c=8 d=0.535261 t=5390
yě;gg yào;xn 	也要	c=1 d=0.103312 t=5390
yě;gg yǒu;ou,uo 	也有	c=2 d=0.414783 t=5390
yě;gg zhǐ;kb shì;op,ov 	也只是	c=1 d=1.11128e-06 t=5390
yī;aa 	一	c=2 d=0.00831254 t=5390
yī;ry jiù;ao 	依旧	c=3 d=0.199722 t=5390
yīn;kd cǐ;vb 	因此	c=2 d=0.0327128 t=5390
yīn;kd wèi;dd 	因为	c=25 d=2.83084 t=5390
yīn;lo diào;yv 	音调	c=2 d=0.604729 t=5390
yīn;lo jié;ce 	音节	c=4 d=0.457055 t=5390
yīng;cy 	英	c=1 d=0.0208584 t=5390
yīng;cy wén;wi,dd 	英文	c=1 d=0.946485 t=5390
yīng;cy wén;wi,dd zhuàng;jq,pq,qp tài;xt 	英文状态	c=1 d=2.66582e-06 t=5390
yīng;ga gāi;yh 	应该	c=7 d=1.74825 t=5390
yīng;ga yuán;aw,ee 	应元	c=1 d=0.0553667 t=5390
yōng;fy yǒu;ou,uo 	拥有	c=2 d=0.297649 t=5390
yōu;ry huà;rb 	优化	c=2 d=0.0925507 t=5390
yōu;ry huà;rb le;aa,vu 	优化了	c=1 d=0.0515605 t=5390
yōu;ry kù;yg 	优酷	c=1 d=0.0230521 t=5390
yǎn;og 	眼	c=1 d=8.85384e-10 t=5390
yǎn;og huā;ch liáo;sl,sx luàn;ug 	眼花缭乱	c=1 d=0.847894 t=5390
yǎn;og lǐ;aa,tt 	眼里	c=1 d=0.0157644 t=5390
yǐ;rd,ry hòu;pk 	以后	c=5 d=0.944473 t=5390
yǐ;rd,ry nèi;ad,kr 	以内	c=0 d=5.21141e-11 t=5390
yǐ;rd,ry qián;bd,qd 	以前	c=2 d=0.38868 t=5390
yǐ;rd,ry wéi;dd 	以为	c=2 d=0.782705 t=5390
yǐ;vg,ag 	已	c=1 d=0.202909 t=5390
yǐ;vg,ag jīng;sg 	已经	c=1 d=0.160414 t=5390
yǐn;ej cáng;cg,ci 	隐藏	c=2 d=1.96546 t=5390
yǐn;ga dǎo;cs,sc 	引导	c=7 d=0.0438673 t=5390
yǐn;ga dǎo;cs,sc cí;ys 	引导词	c=1 d=0.0151463 t=5390
yǐn;ga dǎo;cs,sc jiàn;jj 	引导键	c=1 d=0.0403566 t=5390
yǐng;pj xiǎng;kx 	影响	c=4 d=0.849093 t=5390
yǒng;dd yuǎn;zy 	永远	c=1 d=0.0982734 t=5390
yǒu;ou,uo 	有	c=25 d=1.29247 t=5390
yǒu;ou,uo diǎn;hv 	有点	c=5 d=0.843665 t=5390
yǒu;ou,uo dà;ad lǎo;rl 	有大佬	c=1 d=0.000249762 t=5390
yǒu;ou,uo gè;ra,pa 	有个	c=3 d=0.398539 t=5390
yǒu;ou,uo kè;yg 	有课	c=1 d=0.0320647 t=5390
yǒu;ou,uo le;aa,vu 	有了	c=1 d=0.236928 t=5390
yǒu;ou,uo me;ps 	有么	c=2 d=0.00586968 t=5390
yǒu;ou,uo méi;du yǒu;ou,uo 	有没有	c=1 d=0.50409 t=5390
yǒu;ou,uo rén;pd 	有人	c=4 d=0.278037 t=5390
yǒu;ou,uo shén;ru me;ps guān;bt,qd xì;ps 	有什么关系	c=1 d=0.965605 t=5390
yǒu;ou,uo wèn;km,mk tí;uy,yu 	有问题	c=2 d=0.0645729 t=5390
yǒu;ou,uo xiē;ec 	有些	c=5 d=1.46466 t=5390
yǒu;ou,uo xiē;ec tí;uy,yu 	有些题	c=1 d=0.0150707 t=5390
yǒu;ou,uo xū;ye yào;xn 	有需要	c=1 d=0.0478349 t=5390
yǒu;ou,uo yì;aa diǎn;hv 	有一点	c=0 d=0.0995012 t=5390
yǒu;ou,uo yì;aa shuō;yd yī;aa 	有一说一	c=1 d=0.00285125 t=5390
yǒu;ou,uo yòng;kf 	有用	c=1 d=0.000303539 t=5390
yǔ;aa 	与	c=1 d=0.519442 t=5390
yǔ;aa wǒ;pd,pp wú;ag,ay,ee guān;bt,qd 	与我无关	c=1 d=0.00431784 t=5390
yǔ;yw fǎ;dq 	语法	c=6 d=0.961395 t=5390
yǔ;yw jù;gk,kg,pk 	语句	c=1 d=0.0151463 t=5390
yǔ;yw yán;da,dk,wk 	语言	c=1 d=0.0143357 t=5390
yǔn;se xǔ;yw 	允许	c=1 d=0.913931 t=5390
zhuàng;jq,pq,qp tài;xt 	状态	c=5 d=0.770087 t=5390
zhuàng;jq,pq,qp tài;xt lán;ml 	状态栏	c=5 d=0.985112 t=5390
zhuó;wd,wi mó;mu,um 	琢磨	c=1 d=0.194952 t=5390
zhuī;zv jiā;lk,kl 	追加	c=6 d=0.0466302 t=5390
zhuī;zv suí;ey,ez 	追随	c=1 d=0.0987662 t=5390
zhàn;bk 	占	c=2 d=0.164089 t=5390
zhàn;bk yòng;kf 	占用	c=2 d=1.04414 t=5390
zhàn;lv 	站	c=1 d=0.752014 t=5390
zhàng;bi hào;kk mì;ub,bu mǎ;um 	账号密码	c=1 d=0.0135009 t=5390
zhào;hv cháng;jk,xd,dd 	照常	c=1 d=0.0287246 t=5390
zhè;dv jiāng;dg 	浙江	c=1 d=0.00212284 t=5390
zhè;zw 	这	c=6 d=0.597501 t=5390
zhè;zw biān;zl 	这边	c=2 d=0.000829239 t=5390
zhè;zw bù;ek,ep fèn;bd,db 	这部分	c=4 d=1.13112 t=5390
zhè;zw bú;ad,ax jiù;yj shì;op,ov 	这不就是	c=1 d=3.91906e-10 t=5390
zhè;zw bú;ad,ax shì;op,ov 	这不是	c=2 d=0.744532 t=5390
zhè;zw běn;aa,ma shū;ad,vd 	这本书	c=2 d=1.78881 t=5390
zhè;zw cì;dq 	这次	c=3 d=0.0905582 t=5390
zhè;zw ge;ra,pa 	这个	c=64 d=4.68522 t=5390
zhè;zw ge;ra,pa shì;ju,uj pín;yb 	这个视频	c=1 d=0.0788664 t=5390
zhè;zw ge;ra,pa yì;xy,lx si;tx,xt 	这个意思	c=1 d=0.279431 t=5390
zhè;zw ge;ra,pa zì;bz tǐ;rb méi;du yǒu;ou,uo xiǎo;ad zì;bz zhòng;pa,ql suō;ss xiǎo;ad le;aa,vu jiù;yj huì;ry biàn;wy,yy dé;xc jù;jj chǐ;vk le;aa,vu 	这个字体没有小字重缩小了就会变得锯齿了	c=1 d=0.00298248 t=5390
zhè;zw hái;zb shì;op,ov 	这还是	c=1 d=0.00241755 t=5390
zhè;zw hé;hk 	这和	c=1 d=0.955997 t=5390
zhè;zw jiàn;rn shì;aa 	这件事	c=0 d=0.00389686 t=5390
zhè;zw jiàn;rn shì;aa shàng;aa,ba 	这件事上	c=1 d=0.0391639 t=5390
zhè;zw jù;gk,kg,pk huà;yu 	这句话	c=1 d=0.0614213 t=5390
zhè;zw liǎng;ad háng;xd,xi 	这两行	c=1 d=0.00246639 t=5390
zhè;zw lǐ;aa,tt 	这里	c=9 d=0.403708 t=5390
zhè;zw lǐ;aa,tt de;bu 	这里的	c=1 d=0.332871 t=5390
zhè;zw lǐ;aa,tt miàn;aa 	这里面	c=1 d=0.00465413 t=5390
zhè;zw me;ps 	这么	c=9 d=0.0734516 t=5390
zhè;zw me;ps diū;pq,ps rén;pd 	这么丢人	c=1 d=0.00366107 t=5390
zhè;zw me;ps duō;xx 	这么多	c=1 d=0.0103063 t=5390
zhè;zw me;ps dà;ad le;aa,vu 	这么大了	c=1 d=0.995012 t=5390
zhè;zw me;ps huā;ch 	这么花	c=1 d=1.02072e-06 t=5390
zhè;zw me;ps hǎo;nz 	这么好	c=1 d=0.0502872 t=5390
zhè;zw me;ps kāi;ac 	这么开	c=1 d=0.292293 t=5390
zhè;zw me;ps lì;iw hai;bk 	这么厉害	c=1 d=0.146607 t=5390
zhè;zw me;ps qiáng;gs 	这么强	c=1 d=0.049539 t=5390
zhè;zw me;ps yòng;kf 	这么用	c=1 d=0.00465413 t=5390
zhè;zw rén;pd 	这人	c=1 d=0.99005 t=5390
zhè;zw shá;ku 	这啥	c=1 d=0.168638 t=5390
zhè;zw shì;op,ov 	这是	c=14 d=1.70116 t=5390
zhè;zw shì;op,ov gè;ra,pa 	这是个	c=1 d=0.360595 t=5390
zhè;zw xiē;ec 	这些	c=4 d=0.470011 t=5390
zhè;zw yàng;my 	这样	c=26 d=2.14743 t=5390
zhè;zw yàng;my de;bu 	这样的	c=4 d=1.30065 t=5390
zhè;zw yě;gg néng;sb 	这也能	c=1 d=0.000387808 t=5390
zhè;zw zhǒng;hv 	这种	c=11 d=1.55428 t=5390
zhè;zw zhǒng;hv dōng;ad,qx xi;aa 	这种东西	c=1 d=0.00402593 t=5390
zhèn;yi 	震	c=1 d=0.0216013 t=5390
zhèng;av cháng;jk,xd,dd 	正常	c=8 d=0.755463 t=5390
zhèng;av cháng;jk,xd,dd me;ps 	正常么	c=1 d=5.78837e-10 t=5390
zhèng;av què;uj 	正确	c=5 d=0.727304 t=5390
zhì;ab,jb,uj,vb 	彘	c=1 d=5.73078e-10 t=5390
zhì;ov néng;sb 	智能	c=1 d=0.000418012 t=5390
zhì;tv,vt shǎo;xp 	至少	c=2 d=0.00134549 t=5390
zhí;aa,uq bō;ff jiān;mo,om 	直播间	c=2 d=0.22313 t=5390
zhí;aa,uq dào;dv 	直到	c=3 d=0.1321 t=5390
zhí;aa,uq jiē;fq 	直接	c=7 d=0.923172 t=5390
zhí;aa,uq jiē;fq shàng;aa,ba pǐn;kk 	直接上品	c=1 d=0.00054485 t=5390
zhí;fw xíng;xd,xi lì;gp 	执行力	c=1 d=0.0492919 t=5390
zhí;rv 	值	c=2 d=0.549248 t=5390
zhí;rv shǒu;bc 	值守	c=1 d=0.358796 t=5390
zhòng;pa,ql 	重	c=0 d=0.000296761 t=5390
zhòng;rc kǒu;aa nán;yv tiáo;yv 	众口难调	c=1 d=0.0389686 t=5390
zhòu;ip,pi,px méi;om,uo 	皱眉	c=1 d=7.43242e-10 t=5390
zhù;dv shì;pf,bf 	注释	c=3 d=1.47489 t=5390
zhān;mv tiē;bv 	粘贴	c=1 d=1.40567e-06 t=5390
zhāng;lz 	章	c=2 d=0.135092 t=5390
zhāng;lz jié;ce 	章节	c=4 d=0.0580446 t=5390
zhāng;lz jié;ce cè;dz yàn;ma,mq 	章节测验	c=3 d=0.0611722 t=5390
zhāo;fv 	招	c=1 d=0.759572 t=5390
zhēn;ju duì;cy,yc 	针对	c=1 d=0.0103063 t=5390
zhēn;uj 	真	c=4 d=0.483338 t=5390
zhēn;uj de;bu 	真的	c=4 d=0.404382 t=5390
zhēn;uj gǎn;we,aw,vw 	真敢	c=0 d=1.89745e-07 t=5390
zhēn;uj gǎn;we,aw,vw shuō;yd a;ka 	真敢说啊	c=1 d=1.90696e-06 t=5390
zhēn;uj yào;xn 	真要	c=1 d=0.08291 t=5390
zhěng;vi,vw 	整	c=2 d=0.453845 t=5390
zhěng;vi,vw gè;ra,pa 	整个	c=7 d=0.38038 t=5390
zhěng;vi,vw gè;ra,pa jù;gk,kg,pk zi;aa,vh 	整个句子	c=2 d=0.152444 t=5390
zhěng;vi,vw lǐ;wl 	整理	c=1 d=0.00621991 t=5390
zhī;dd qián;bd,qd 	之前	c=13 d=0.710584 t=5390
zhī;dd qián;bd,qd yí;aa yàng;my 	之前一样	c=1 d=0.000461975 t=5390
zhī;uk,ku dào;zu 	知道	c=7 d=2.42016 t=5390
zhōng;aa,ka 	中	c=13 d=1.19832 t=5390
zhōng;aa,ka le;aa,vu ma;km 	中了吗	c=1 d=0.806541 t=5390
zhōng;aa,ka wén;wi,dd 	中文	c=1 d=0.873716 t=5390
zhōng;aa,ka xìng;xu 	中性	c=1 d=0.0065062 t=5390
zhōu;kj,kk jùn;rj,rw 	周俊	c=1 d=0.00108086 t=5390
zhōu;kj,kk rì;aa,or,ri 	周日	c=1 d=0.0350844 t=5390
zhōu;kj,kk sì;aa,ke 	周四	c=1 d=0.0128424 t=5390
zhōu;kj,kk yī;aa 	周一	c=2 d=0.0649816 t=5390
zhǎi;xv,bv 	窄	c=1 d=0.055299 t=5390
zhǎn;uy shì;ex,ad 	展示	c=1 d=4.1614e-10 t=5390
zhǎo;fg 	找	c=2 d=0.382893 t=5390
